"Form type","Form description","Filing date","Reporting date"
"424B5","Prospectus [Rule 424(b)(5)]","1994-01-26",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1994-01-26","1993-12-31"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1994-02-10",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1994-02-17",""
"SC 13G","Statement of Beneficial Ownership by Certain Investors","1994-02-18",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1994-03-08",""
"S-8","Securities to be offered to employees in employee benefit plans","1994-05-27",""
"S-8","Securities to be offered to employees in employee benefit plans","1994-05-27",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1994-08-12","1994-07-01"
"DEF 14A","Other definitive proxy statements","1994-12-12","1995-01-24"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","1994-12-13","1994-09-30"
"SC 13D/A","General Statement of Acquisition of Beneficial Ownership - amendment","1995-01-10",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1995-02-06",""
"SC 13D/A","General Statement of Acquisition of Beneficial Ownership - amendment","1995-02-07",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1995-02-09","1994-12-30"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1995-02-14",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1995-03-06",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1995-05-15","1995-03-31"
"S-8","Securities to be offered to employees in employee benefit plans","1995-06-16",""
"S-8","Securities to be offered to employees in employee benefit plans","1995-06-16",""
"SC 13G","Statement of Beneficial Ownership by Certain Investors","1995-07-07",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1995-08-11","1995-06-30"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1995-10-10",""
"SC 13D/A","General Statement of Acquisition of Beneficial Ownership - amendment","1995-11-13",""
"SC 13D/A","General Statement of Acquisition of Beneficial Ownership - amendment","1995-12-14",""
"SC 13D/A","General Statement of Acquisition of Beneficial Ownership - amendment","1995-12-14",""
"DEF 14A","Other definitive proxy statements","1995-12-19","1996-01-23"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","1995-12-19","1995-09-29"
"10-Q","Quarterly report [Sections 13 or 15(d)]","1996-02-12","1995-12-29"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","1996-02-13",""
"8-K","Current report","1996-04-12","1996-04-10"
"SC 13D/A","General Statement of Acquisition of Beneficial Ownership - amendment","1996-04-17",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1996-05-13","1996-03-29"
"8-K","Current report","1996-06-17","1996-06-14"
"S-8","Securities to be offered to employees in employee benefit plans","1996-07-02",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1996-08-12","1996-06-28"
"S-3","Registration statement under Securities Act of 1933","1996-08-28",""
"8-K","Current report","1996-10-28","1996-10-28"
"S-3/A","Registration statement under Securities Act of 1933 - amendment","1996-10-30",""
"8-K","Current report","1996-12-13","1996-12-04"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","1996-12-19","1996-09-27"
"424B5","Prospectus [Rule 424(b)(5)]","1996-12-20",""
"8-K/A","Current report - amendment","1996-12-23","1996-12-04"
"8-K","Current report","1996-12-24","1996-12-24"
"DEF 14A","Other definitive proxy statements","1996-12-27","1997-02-05"
"424B3","Prospectus [Rule 424(b)(3)]","1997-01-17",""
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","1997-01-31",""
"SC 13G","Statement of Beneficial Ownership by Certain Investors","1997-02-05",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","1997-02-10",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1997-02-10","1996-12-27"
"424B3","Prospectus [Rule 424(b)(3)]","1997-02-21",""
"S-8","Securities to be offered to employees in employee benefit plans","1997-03-21",""
"S-8","Securities to be offered to employees in employee benefit plans","1997-03-21",""
"SC 13D","General Statement of Acquisition of Beneficial Ownership","1997-04-09",""
"8-K","Current report","1997-04-10","1997-04-10"
"8-K","Current report","1997-04-25","1997-04-25"
"424B3","Prospectus [Rule 424(b)(3)]","1997-05-07",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","1997-05-12","1997-03-28"
"S-3","Registration statement under Securities Act of 1933","1997-05-30",""
"S-3/A","Registration statement under Securities Act of 1933 - amendment","1997-06-02",""
"424B3","Prospectus [Rule 424(b)(3)]","1997-06-18",""
"8-K","Current report","1997-07-28","1997-07-28"
"10-Q","Quarterly report [Sections 13 or 15(d)]","1997-08-11","1997-06-27"
"8-K","Current report","1997-09-05","1997-09-02"
"424B3","Prospectus [Rule 424(b)(3)]","1997-09-16",""
"8-K","Current report","1997-09-25","1997-09-24"
"8-K","Current report","1997-09-25","1997-09-24"
"10-Q/A","Quarterly report [Sections 13 or 15(d)] - amendment","1997-10-07","1997-10-07"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","1997-12-05","1997-09-26"
"PRE 14A","Other preliminary proxy statements","1997-12-05","1998-02-03"
"S-4","Registration of securities, business combinations","1997-12-11",""
"424B3","Prospectus [Rule 424(b)(3)]","1997-12-18",""
"S-4/A","Registration of securities, business combinations - amendment","1998-01-06",""
"8-K","Current report","1998-01-08","1998-01-08"
"10-K/A","Annual report [Section 13 and 15(d), not S-K Item 405] - amendment","1998-01-23","1997-09-26"
"10-Q","Quarterly report [Sections 13 or 15(d)]","1998-02-09","1997-12-26"
